,Thickness of the Backing and Adhesive (mm),,,,,,,,,,,,,,,,,
,Site 1,,,AVE,STDV,Site 2,,,AVE ,STDV,Site 3 ,,,AVE ,STDV,,AVE,STDV
Tape 1,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.04,0
Tape 2,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.04,0.04,0.04,0,0.03,0.04,0.04,0.03666666667,0.005773502692,,0.03666666667,0.005
Tape 3,0.08,0.08,0.011,0.057,0.03983716857,0.09,0.08,0.11,0.09333333333,0.01527525232,0.08,0.09,0.09,0.08666666667,0.005773502692,,0.079,0.02727636339
Tape 4,0.03,0.03,0.03,0.03,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.03666666667,0.005
Tape 5,0.04,0.04,0.03,0.03666666667,0.005773502692,0.04,0.04,0.05,0.04333333333,0.005773502692,0.04,0.04,0.05,0.04333333333,0.005773502692,,0.04111111111,0.006009252126
Tape 6,0.05,0.04,0.04,0.04333333333,0.005773502692,0.06,0.05,0.05,0.05333333333,0.005773502692,0.05,0.06,0.06,0.05666666667,0.005773502692,,0.05111111111,0.0078173596
Tape 7,0.14,0.12,0.09,0.1166666667,0.02516611478,0.1,0.08,0.08,0.08666666667,0.01154700538,0.08,0.09,0.08,0.08333333333,0.005773502692,,0.09555555556,0.02127857556
Tape 8,0.06,0.05,0.04,0.05,0.01,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05,0,,0.05,0.005
Tape 9,0.06,0.05,0.06,0.05666666667,0.005773502692,0.06,0.06,0.07,0.06333333333,0.005773502692,0.07,0.06,0.06,0.06333333333,0.005773502692,,0.06111111111,0.006009252126
Tape 10,0.04,0.03,0.03,0.03333333333,0.005773502692,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.03777777778,0.004409585518
Tape 11,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.03777777778,0.004409585518
Tape 12,0.14,0.14,0.14,0.14,0,0.14,0.13,0.14,0.1366666667,0.005773502692,0.14,0.14,0.14,0.14,0,,0.1388888889,0.003333333333
Tape 13,0.04,0.04,0.04,0.04,0,0.05,0.04,0.04,0.04333333333,0.005773502692,0.04,0.04,0.04,0.04,0,,0.04111111111,0.003333333333
Tape 14,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.04,0
Tape 15,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.04,0
Tape 16,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,,0.03,0
Tape 17,0.03,0.03,0.03,0.03,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.03666666667,0.005
Tape 18,0.04,0.03,0.03,0.03333333333,0.005773502692,0.04,0.04,0.04,0.04,0,0.04,0.03,0.04,0.03666666667,0.005773502692,,0.03666666667,0.005
Tape 19,0.07,0.07,0.07,0.07,0,0.07,0.07,0.07,0.07,0,0.07,0.07,0.07,0.07,0,,0.07,0
Tape 20,0.03,0.04,0.03,0.03333333333,0.005773502692,0.04,0.05,0.04,0.04333333333,0.005773502692,0.04,0.04,0.04,0.04,0,,0.03888888889,0.006009252126
Tape 21,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,,0.04,0
Tape 22,0.05,0.06,0.06,0.05666666667,0.005773502692,0.06,0.06,0.06,0.06,0,0.06,0.06,0.05,0.05666666667,0.005773502692,,0.05777777778,0.004409585518
Tape 23,0.04,0.04,0.04,0.04,0,0.03,0.04,0.04,0.03666666667,0.005773502692,0.04,0.03,0.04,0.03666666667,0.005773502692,,0.03777777778,0.004409585518
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Thickness of The Tape Backing (mm),,,,,,,,,,,,,,,,,
,Site 1,,,AVE,STDV,Site 2,,,AVE ,STDV,Site 3 ,,,AVE ,STDV,,AVE,STDV
Tape 1,0.03,0.03,0.03,0.03,0,0.04,0.04,0.04,0.04,0,0.04,0.03,0.05,0.04,0.01,,0.03666666667,0.007071067812
Tape 2,0.03,0.03,0.03,0.03,0,0.03,0.03,0.02,0.02666666667,0.005773502692,0.03,0.03,0.02,0.02666666667,0.005773502692,,0.02777777778,0.004409585518
Tape 3,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.04,0.05,0.04333333333,0.005773502692,0.05,0.05,0.04,0.04666666667,0.005773502692,,0.04111111111,0.0078173596
Tape 4,0.02,0.02,0.03,0.02333333333,0.005773502692,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.05,0.04,0.04333333333,0.005773502692,,0.03333333333,0.01
Tape 5,0.04,0.04,0.03,0.03666666667,0.005773502692,0.03,0.03,0.02,0.02666666667,0.005773502692,0.04,0.03,0.04,0.03666666667,0.005773502692,,0.03333333333,0.007071067812
Tape 6,0.03,0.03,0.02,0.02666666667,0.005773502692,0.05,0.03,0.04,0.04,0.01,0.02,0.02,0.03,0.02333333333,0.005773502692,,0.03,0.01
Tape 7,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!
Tape 8,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0,0.03,0.04,0.03,0.03333333333,0.005773502692,,0.03111111111,0.003333333333
Tape 9,0.01,0.01,0.01,0.01,0,0.02,0.03,0.02,0.02333333333,0.005773502692,0.03,0.03,0.03,0.03,0,,0.02111111111,0.009279607271
Tape 10,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.02,0,0.01,0.01,0.01,0.01,0,,0.01666666667,0.005
Tape 11,0.02,0.03,0.02,0.02333333333,0.005773502692,0.03,0.03,0.03,0.03,0,0.03,0.02,0.03,0.02666666667,0.005773502692,,0.02666666667,0.005
Tape 12,0.09,0.1,0.1,0.09666666667,0.005773502692,0.1,0.1,0.09,0.09666666667,0.005773502692,0.1,0.1,0.11,0.1033333333,0.005773502692,,0.09888888889,0.006009252126
Tape 13,0.02,0.02,0.03,0.02333333333,0.005773502692,0.04,0.03,0.03,0.03333333333,0.005773502692,0.05,0.04,0.05,0.04666666667,0.005773502692,,0.03444444444,0.01130388331
Tape 14,0.01,0.01,0.01,0.01,0,0.02,0.02,0.02,0.02,0,0.02,0.03,0.02,0.02333333333,0.005773502692,,0.01777777778,0.006666666667
Tape 15,0.01,0.01,0.01,0.01,0,0.02,0.01,0.02,0.01666666667,0.005773502692,0.03,0.02,0.02,0.02333333333,0.005773502692,,0.01666666667,0.007071067812
Tape 16,0.01,0.01,0.01,0.01,0,0.02,0.02,0.03,0.02333333333,0.005773502692,0.02,0.01,0.01,0.01333333333,0.005773502692,,0.01555555556,0.007264831573
Tape 17,0.01,0.02,0.01,0.01333333333,0.005773502692,0.02,0.02,0.01,0.01666666667,0.005773502692,0.02,0.03,0.02,0.02333333333,0.005773502692,,0.01777777778,0.006666666667
Tape 18,0.01,0.01,0.01,0.01,0,0.03,0.02,0.02,0.02333333333,0.005773502692,0.03,0.04,0.03,0.03333333333,0.005773502692,,0.02222222222,0.01092906421
Tape 19,0.03,0.04,0.04,0.03666666667,0.005773502692,0.03,0.03,0.04,0.03333333333,0.005773502692,0.04,0.05,0.05,0.04666666667,0.005773502692,,0.03888888889,0.0078173596
Tape 20,0.01,0.02,0.02,0.01666666667,0.005773502692,0.02,0.03,0.03,0.02666666667,0.005773502692,0.01,0.01,0.02,0.01333333333,0.005773502692,,0.01888888889,0.0078173596
Tape 21,0.03,0.03,0.03,0.03,0,0.04,0.04,0.03,0.03666666667,0.005773502692,0.03,0.02,0.03,0.02666666667,0.005773502692,,0.03111111111,0.006009252126
Tape 22,0.02,0.01,0.01,0.01333333333,0.005773502692,0.01,0.01,0.02,0.01333333333,0.005773502692,0.03,0.02,0.03,0.02666666667,0.005773502692,,0.01777777778,0.008333333333
Tape 23,0.02,0.03,0.02,0.02333333333,0.005773502692,0.03,0.04,0.03,0.03333333333,0.005773502692,0.02,0.03,0.02,0.02333333333,0.005773502692,,0.02666666667,0.007071067812
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,thickness AVE overall,,,,,,,,,,,,,,,,
,Tape,AVE Overall,STDV,,,,,,,,,,,,,,,
,Tape 1,0.04,0,0.04,0.04,,,,,,,,,,,,,
,Tape 2,0.037,0.005,0.042,0.032,,,,,,,,,,,,,
,Tape 3,0.079,0.027,0.106,0.052,,,,,,,,,,,,,
,Tape 4,0.037,0.005,0.042,0.032,,,,,,,,,,,,,
,Tape 5,0.041,0.006,0.047,0.035,,,,,,,,,,,,,
,Tape 6,0.051,0.008,0.059,0.043,,,,,,,,,,,,,
,Tape 7,0.096,0.021,0.117,0.075,,,,,,,,,,,,,
,Tape 8,0.05,0.005,0.055,0.045,,,,,,,,,,,,,
,Tape 9,0.061,0.006,0.067,0.055,,,,,,,,,,,,,
,Tape 10,0.038,0.004,0.042,0.034,,,,,,,,,,,,,
,Tape 11,0.038,0.004,0.042,0.034,,,,,,,,,,,,,
,Tape 12,0.139,0.003,0.142,0.136,,,,,,,,,,,,,
,Tape 13,0.041,0.003,0.044,0.038,,,,,,,,,,,,,
,Tape 14,0.04,0,0.04,0.04,,,,,,,,,,,,,
,Tape 15,0.04,0,0.04,0.04,,,,,,,,,,,,,
,Tape 16,0.03,0,0.03,0.03,,,,,,,,,,,,,
,Tape 17,0.037,0.005,0.042,0.032,,,,,,,,,,,,,
,Tape 18,0.037,0.005,0.042,0.032,,,,,,,,,,,,,
,Tape 19,0.07,0,0.07,0.07,,,,,,,,,,,,,
,Tape 20,0.039,0.006,0.045,0.033,,,,,,,,,,,,,
,Tape 21,0.04,0,0.04,0.04,,,,,,,,,,,,,
,Tape 22,0.058,0.004,0.062,0.054,,,,,,,,,,,,,
,Tape 23,0.038,0.004,0.042,0.034,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Thickness of the backing,,,,,,,,,,,,,,,,
,Tape,AVE of Backing,STDV,,,,,,,,,,,,,,,
,Tape 1,0.037,0.007,0.044,0.03,,,,,,,,,,,,,
,Tape 2,0.028,0.004,0.032,0.024,,,,,,,,,,,,,
,Tape 3,0.041,0.008,0.049,0.033,,,,,,,,,,,,,
,Tape 4,0.033,0.01,0.043,0.023,,,,,,,,,,,,,
,Tape 5,0.033,0.007,0.04,0.026,,,,,,,,,,,,,
,Tape 6,0.03,0.01,0.04,0.02,,,,,,,,,,,,,
,Tape 7,####,####,#VALUE!,#VALUE!,,,,,,,,,,,,,
,Tape 8,0.031,0.003,0.034,0.028,,,,,,,,,,,,,
,Tape 9,0.021,0.009,0.03,0.012,,,,,,,,,,,,,
,Tape 10,0.017,0.005,0.022,0.012,,,,,,,,,,,,,
,Tape 11,0.027,0.005,0.032,0.022,,,,,,,,,,,,,
,Tape 12,0.099,0.006,0.105,0.093,,,,,,,,,,,,,
,Tape 13,0.034,0.011,0.045,0.023,,,,,,,,,,,,,
,Tape 14,0.018,0.007,0.025,0.011,,,,,,,,,,,,,
,Tape 15,0.017,0.007,0.024,0.01,,,,,,,,,,,,,
,Tape 16,0.016,0.007,0.023,0.009,,,,,,,,,,,,,
,Tape 17,0.018,0.007,0.025,0.011,,,,,,,,,,,,,
,Tape 18,0.022,0.011,0.033,0.011,,,,,,,,,,,,,
,Tape 19,0.039,0.008,0.047,0.031,,,,,,,,,,,,,
,Tape 20,0.019,0.008,0.027,0.011,,,,,,,,,,,,,
,Tape 21,0.031,0.006,0.037,0.025,,,,,,,,,,,,,
,Tape 22,0.018,0.008,0.026,0.01,,,,,,,,,,,,,
,Tape 23,0.027,0.007,0.034,0.02,,,,,,,,,,,,,