,WIDTH (mm),,,,,,,,,,,,,,,,,,
,Site 1,,,AVE,STDV,Site 2,,,AVE ,STDV,Site 3 ,,,AVE ,STDV,,AVE,STDV,Expected
Tape 1,19.1,18.99,19.15,19.08,0.08185352772,18.99,18.99,19.05,19.01,0.03464101615,18.98,19.06,19.03,19.02333333,0.04041451884,,19.03777778,0.05847601598,19
Tape 2,12.78,12.88,12.96,12.87333333,0.09018499506,12.83,12.79,12.82,12.81333333,0.02081665999,12.76,12.7,12.72,12.72666667,0.03055050463,,12.80444444,0.08032918385,12.7
Tape 3,12.87,12.77,12.7,12.78,0.08544003745,12.77,12.72,12.73,12.74,0.02645751311,12.78,12.7,12.81,12.76333333,0.05686240703,,12.76111111,0.0557773351,12.7
Tape 4,19.12,19.02,19.04,19.06,0.05291502622,19.13,19.1,19.12,19.11666667,0.01527525232,19.14,19.09,19.14,19.12333333,0.02886751346,,19.1,0.04330127019,19
Tape 5,19.11,19.07,19.15,19.11,0.04,19.08,19,19.06,19.04666667,0.04163331999,18.99,18.98,19.05,19.00666667,0.03785938897,,19.05444444,0.05681353516,19
Tape 6,19.06,19.17,19.06,19.09666667,0.06350852961,19.09,19.08,19.08,19.08333333,0.005773502692,19.03,19.06,19.06,19.05,0.01732050808,,19.07666667,0.03905124838,19
Tape 7,19.44,19.38,19.41,19.41,0.03,19.44,19.48,19.38,19.43333333,0.05033222957,19.45,19.45,19.44,19.44666667,0.005773502692,,19.43,0.03354101966,19
Tape 8,19.09,19.15,19.06,19.1,0.04582575695,19.06,19.15,19.08,19.09666667,0.04725815626,19.15,19.17,19.1,19.14,0.03605551275,,19.11222222,0.04294699576,19
Tape 9,12.6,12.54,12.64,12.59333333,0.05033222957,12.8,12.68,12.62,12.7,0.0916515139,12.37,12.81,12.55,12.57666667,0.2212088003,,12.62333333,0.1353698637,12.7
Tape 10,19.07,19.07,19.09,19.07666667,0.01154700538,19.08,19.12,19.11,19.10333333,0.02081665999,19.09,19.05,19.05,19.06333333,0.02309401077,,19.08111111,0.02420973174,19
Tape 11,19.14,19.13,19.09,19.12,0.02645751311,19.15,19.09,19.1,19.11333333,0.03214550254,19.09,19.15,19.1,19.11333333,0.03214550254,,19.11555556,0.0265099562,19
Tape 12,19.22,19.17,19.11,19.16666667,0.05507570547,19.25,19.19,19.36,19.26666667,0.08621678104,19.23,19.09,19.28,19.2,0.09848857802,,19.21111111,0.08358295945,19
Tape 13,19.14,19.05,19.06,19.08333333,0.04932882862,19.14,19.12,19.05,19.10333333,0.04725815626,19.07,19.11,19.06,19.08,0.02645751311,,19.08888889,0.03822448314,19
Tape 14,19.44,19.43,19.44,19.43666667,0.005773502692,19.37,19.47,19.38,19.40666667,0.05507570547,19.46,19.44,19.45,19.45,0.01,,19.43111111,0.0340750805,19
Tape 15,19.05,19.01,18.98,19.01333333,0.03511884584,19.01,18.99,19.01,19.00333333,0.01154700538,18.99,19.09,18.95,19.01,0.07211102551,,19.00888889,0.04075673087,19
Tape 16,18.2,18.34,18.2,18.24666667,0.08082903769,18.27,18.16,18.2,18.21,0.05567764363,18.23,18.18,18.42,18.27666667,0.1266227994,,18.24444444,0.08516324194,17.78
Tape 17,18.52,18.75,18.81,18.69333333,0.1530795,18.73,18.79,18.75,18.75666667,0.03055050463,18.81,18.75,18.78,18.78,0.03,,18.74333333,0.08845903006,19
Tape 18,18.87,18.94,18.95,18.92,0.04358898944,18.93,18.95,18.93,18.93666667,0.01154700538,18.95,19,18.95,18.96666667,0.02886751346,,18.94111111,0.03370624736,19
Tape 19,12.83,12.73,12.79,12.78333333,0.05033222957,12.81,12.67,12.75,12.74333333,0.07023769169,12.78,12.7,12.76,12.74666667,0.04163331999,,12.75777778,0.05166666667,12.7
Tape 20,18.63,18.63,18.64,18.63333333,0.005773502692,18.67,18.81,18.8,18.76,0.07810249676,18.66,18.52,18.7,18.62666667,0.09451631253,,18.67333333,0.0894427191,19
Tape 21,19.02,19.15,19.17,19.11333333,0.08144527815,19.14,19.13,19.15,19.14,0.01,19.09,19.05,19.13,19.09,0.04,,19.11444444,0.0505250213,19
Tape 22,12.92,12.95,12.92,12.93,0.01732050808,13,12.92,12.92,12.94666667,0.04618802154,12.97,12.9,12.88,12.91666667,0.04725815626,,12.93111111,0.03655285367,12.7
Tape 23,18.88,18.84,18.87,18.86333333,0.02081665999,18.86,18.88,18.87,18.87,0.01,18.73,18.83,18.84,18.8,0.0608276253,,18.84444444,0.04666666667,19